kb_id,category,fact_name,arg1,arg2,arg3,start_date,end_date
49,CORE,has_role,doc_48,doctor,,2025-01-01,2027-01-01
50,CORE,has_role,doc_49,doctor,,2025-01-01,2027-01-01
51,CORE,has_role,pat_0,patient,,2025-01-01,2027-01-01
52,CORE,has_role,pat_1,patient,,2025-01-01,2027-01-01
53,CORE,has_role,pat_2,patient,,2025-01-01,2027-01-01
54,CORE,has_role,pat_3,patient,,2025-01-01,2027-01-01
55,CORE,has_role,pat_4,patient,,2025-01-01,2027-01-01
56,CORE,has_role,pat_5,patient,,2025-01-01,2027-01-01
57,CORE,has_role,pat_6,patient,,2025-01-01,2027-01-01
58,CORE,has_role,pat_7,patient,,2025-01-01,2027-01-01
59,CORE,has_role,pat_8,patient,,2025-01-01,2027-01-01
60,CORE,has_role,pat_9,patient,,2025-01-01,2027-01-01
61,CORE,has_role,pat_10,patient,,2025-01-01,2027-01-01
62,CORE,has_role,pat_11,patient,,2025-01-01,2027-01-01
63,CORE,has_role,pat_12,patient,,2025-01-01,2027-01-01
64,CORE,has_role,pat_13,patient,,2025-01-01,2027-01-01
65,CORE,has_role,pat_14,patient,,2025-01-01,2027-01-01
66,CORE,has_role,pat_15,patient,,2025-01-01,2027-01-01
67,CORE,has_role,pat_16,patient,,2025-01-01,2027-01-01
68,CORE,has_role,pat_17,patient,,2025-01-01,2027-01-01
69,CORE,has_role,pat_18,patient,,2025-01-01,2027-01-01
70,CORE,has_role,pat_19,patient,,2025-01-01,2027-01-01
71,CORE,has_role,pat_20,patient,,2025-01-01,2027-01-01
72,CORE,has_role,pat_21,patient,,2025-01-01,2027-01-01
73,CORE,has_role,pat_22,patient,,2025-01-01,2027-01-01
74,CORE,has_role,pat_23,patient,,2025-01-01,2027-01-01
75,CORE,has_role,pat_24,patient,,2025-01-01,2027-01-01
76,CORE,has_role,pat_25,patient,,2025-01-01,2027-01-01
77,CORE,has_role,pat_26,patient,,2025-01-01,2027-01-01
78,CORE,has_role,pat_27,patient,,2025-01-01,2027-01-01
79,CORE,has_role,pat_28,patient,,2025-01-01,2027-01-01
80,CORE,has_role,pat_29,patient,,2025-01-01,2027-01-01
81,CORE,has_role,pat_30,patient,,2025-01-01,2027-01-01
82,CORE,has_role,pat_31,patient,,2025-01-01,2027-01-01
83,CORE,has_role,pat_32,patient,,2025-01-01,2027-01-01
84,CORE,has_role,pat_33,patient,,2025-01-01,2027-01-01
85,CORE,has_role,pat_34,patient,,2025-01-01,2027-01-01
86,CORE,has_role,pat_35,patient,,2025-01-01,2027-01-01
87,CORE,has_role,pat_36,patient,,2025-01-01,2027-01-01
88,CORE,has_role,pat_37,patient,,2025-01-01,2027-01-01
89,CORE,has_role,pat_38,patient,,2025-01-01,2027-01-01
90,CORE,has_role,pat_39,patient,,2025-01-01,2027-01-01
91,CORE,has_role,pat_40,patient,,2025-01-01,2027-01-01
92,CORE,has_role,pat_41,patient,,2025-01-01,2027-01-01
93,CORE,has_role,pat_42,patient,,2025-01-01,2027-01-01
94,CORE,has_role,pat_43,patient,,2025-01-01,2027-01-01
95,CORE,has_role,pat_44,patient,,2025-01-01,2027-01-01
96,CORE,has_role,pat_45,patient,,2025-01-01,2027-01-01
97,CORE,has_role,pat_46,patient,,2025-01-01,2027-01-01
98,CORE,has_role,pat_47,patient,,2025-01-01,2027-01-01
99,CORE,has_role,pat_48,patient,,2025-01-01,2027-01-01
100,CORE,has_role,pat_49,patient,,2025-01-01,2027-01-01
101,CORE,has_role,pat_50,patient,,2025-01-01,2027-01-01
102,CORE,has_role,pat_51,patient,,2025-01-01,2027-01-01
103,CORE,has_role,pat_52,patient,,2025-01-01,2027-01-01
104,CORE,has_role,pat_53,patient,,2025-01-01,2027-01-01
105,CORE,has_role,pat_54,patient,,2025-01-01,2027-01-01
106,CORE,has_role,pat_55,patient,,2025-01-01,2027-01-01
107,CORE,has_role,pat_56,patient,,2025-01-01,2027-01-01
108,CORE,has_role,pat_57,patient,,2025-01-01,2027-01-01
109,CORE,has_role,pat_58,patient,,2025-01-01,2027-01-01
110,CORE,has_role,pat_59,patient,,2025-01-01,2027-01-01
111,CORE,has_role,pat_60,patient,,2025-01-01,2027-01-01
112,CORE,has_role,pat_61,patient,,2025-01-01,2027-01-01
113,CORE,has_role,pat_62,patient,,2025-01-01,2027-01-01
114,CORE,has_role,pat_63,patient,,2025-01-01,2027-01-01
115,CORE,has_role,pat_64,patient,,2025-01-01,2027-01-01
116,CORE,has_role,pat_65,patient,,2025-01-01,2027-01-01
117,CORE,has_role,pat_66,patient,,2025-01-01,2027-01-01
118,CORE,has_role,pat_67,patient,,2025-01-01,2027-01-01
119,CORE,has_role,pat_68,patient,,2025-01-01,2027-01-01
120,CORE,has_role,pat_69,patient,,2025-01-01,2027-01-01
121,CORE,has_role,pat_70,patient,,2025-01-01,2027-01-01
122,CORE,has_role,pat_71,patient,,2025-01-01,2027-01-01
123,CORE,has_role,pat_72,patient,,2025-01-01,2027-01-01
124,CORE,has_role,pat_73,patient,,2025-01-01,2027-01-01
125,CORE,has_role,pat_74,patient,,2025-01-01,2027-01-01
126,CORE,has_role,pat_75,patient,,2025-01-01,2027-01-01
127,CORE,has_role,pat_76,patient,,2025-01-01,2027-01-01
128,CORE,has_role,pat_77,patient,,2025-01-01,2027-01-01
129,CORE,has_role,pat_78,patient,,2025-01-01,2027-01-01
130,CORE,has_role,pat_79,patient,,2025-01-01,2027-01-01
131,CORE,has_role,pat_80,patient,,2025-01-01,2027-01-01
132,CORE,has_role,pat_81,patient,,2025-01-01,2027-01-01
133,CORE,has_role,pat_82,patient,,2025-01-01,2027-01-01
134,CORE,has_role,pat_83,patient,,2025-01-01,2027-01-01
135,CORE,has_role,pat_84,patient,,2025-01-01,2027-01-01
136,CORE,has_role,pat_85,patient,,2025-01-01,2027-01-01
137,CORE,has_role,pat_86,patient,,2025-01-01,2027-01-01
138,CORE,has_role,pat_87,patient,,2025-01-01,2027-01-01
139,CORE,has_role,pat_88,patient,,2025-01-01,2027-01-01
140,CORE,has_role,pat_89,patient,,2025-01-01,2027-01-01
141,CORE,has_role,pat_90,patient,,2025-01-01,2027-01-01
142,CORE,has_role,pat_91,patient,,2025-01-01,2027-01-01
143,CORE,has_role,pat_92,patient,,2025-01-01,2027-01-01
144,CORE,has_role,pat_93,patient,,2025-01-01,2027-01-01
145,CORE,has_role,pat_94,patient,,2025-01-01,2027-01-01
146,CORE,has_role,pat_95,patient,,2025-01-01,2027-01-01
147,CORE,has_role,pat_96,patient,,2025-01-01,2027-01-01
148,CORE,has_role,pat_97,patient,,2025-01-01,2027-01-01
149,CORE,has_role,pat_98,patient,,2025-01-01,2027-01-01
150,CORE,has_role,pat_99,patient,,2025-01-01,2027-01-01
151,CORE,has_role,pat_100,patient,,2025-01-01,2027-01-01
152,CORE,has_role,pat_101,patient,,2025-01-01,2027-01-01
153,CORE,has_role,pat_102,patient,,2025-01-01,2027-01-01
154,CORE,has_role,pat_103,patient,,2025-01-01,2027-01-01
155,CORE,has_role,pat_104,patient,,2025-01-01,2027-01-01
156,CORE,has_role,pat_105,patient,,2025-01-01,2027-01-01
157,CORE,has_role,pat_106,patient,,2025-01-01,2027-01-01
158,CORE,has_role,pat_107,patient,,2025-01-01,2027-01-01
159,CORE,has_role,pat_108,patient,,2025-01-01,2027-01-01
160,CORE,has_role,pat_109,patient,,2025-01-01,2027-01-01
161,CORE,has_role,pat_110,patient,,2025-01-01,2027-01-01
162,CORE,has_role,pat_111,patient,,2025-01-01,2027-01-01
163,CORE,has_role,pat_112,patient,,2025-01-01,2027-01-01
164,CORE,has_role,pat_113,patient,,2025-01-01,2027-01-01
165,CORE,has_role,pat_114,patient,,2025-01-01,2027-01-01
166,CORE,has_role,pat_115,patient,,2025-01-01,2027-01-01
167,CORE,has_role,pat_116,patient,,2025-01-01,2027-01-01
168,CORE,has_role,pat_117,patient,,2025-01-01,2027-01-01
169,CORE,has_role,pat_118,patient,,2025-01-01,2027-01-01
170,CORE,has_role,pat_119,patient,,2025-01-01,2027-01-01
171,CORE,has_role,pat_120,patient,,2025-01-01,2027-01-01
172,CORE,has_role,pat_121,patient,,2025-01-01,2027-01-01
173,CORE,has_role,pat_122,patient,,2025-01-01,2027-01-01
174,CORE,has_role,pat_123,patient,,2025-01-01,2027-01-01
175,CORE,has_role,pat_124,patient,,2025-01-01,2027-01-01
176,CORE,has_role,pat_125,patient,,2025-01-01,2027-01-01
177,CORE,has_role,pat_126,patient,,2025-01-01,2027-01-01
178,CORE,has_role,pat_127,patient,,2025-01-01,2027-01-01
179,CORE,has_role,pat_128,patient,,2025-01-01,2027-01-01
180,CORE,has_role,pat_129,patient,,2025-01-01,2027-01-01
181,CORE,has_role,pat_130,patient,,2025-01-01,2027-01-01
182,CORE,has_role,pat_131,patient,,2025-01-01,2027-01-01
183,CORE,has_role,pat_132,patient,,2025-01-01,2027-01-01
184,CORE,has_role,pat_133,patient,,2025-01-01,2027-01-01
185,CORE,has_role,pat_134,patient,,2025-01-01,2027-01-01
186,CORE,has_role,pat_135,patient,,2025-01-01,2027-01-01
187,CORE,has_role,pat_136,patient,,2025-01-01,2027-01-01
188,CORE,has_role,pat_137,patient,,2025-01-01,2027-01-01
189,CORE,has_role,pat_138,patient,,2025-01-01,2027-01-01
190,CORE,has_role,pat_139,patient,,2025-01-01,2027-01-01
191,CORE,has_role,pat_140,patient,,2025-01-01,2027-01-01
192,CORE,has_role,pat_141,patient,,2025-01-01,2027-01-01
193,CORE,has_role,pat_142,patient,,2025-01-01,2027-01-01
194,CORE,has_role,pat_143,patient,,2025-01-01,2027-01-01
195,CORE,has_role,pat_144,patient,,2025-01-01,2027-01-01
196,CORE,has_role,pat_145,patient,,2025-01-01,2027-01-01
197,CORE,has_role,pat_146,patient,,2025-01-01,2027-01-01
198,CORE,has_role,pat_147,patient,,2025-01-01,2027-01-01
199,CORE,has_role,pat_148,patient,,2025-01-01,2027-01-01
200,CORE,has_role,pat_149,patient,,2025-01-01,2027-01-01
201,CORE,has_role,pat_150,patient,,2025-01-01,2027-01-01
202,CORE,has_role,pat_151,patient,,2025-01-01,2027-01-01
203,CORE,has_role,pat_152,patient,,2025-01-01,2027-01-01
204,CORE,has_role,pat_153,patient,,2025-01-01,2027-01-01
205,CORE,has_role,pat_154,patient,,2025-01-01,2027-01-01
206,CORE,has_role,pat_155,patient,,2025-01-01,2027-01-01
207,CORE,has_role,pat_156,patient,,2025-01-01,2027-01-01
208,CORE,has_role,pat_157,patient,,2025-01-01,2027-01-01
209,CORE,has_role,pat_158,patient,,2025-01-01,2027-01-01
210,CORE,has_role,pat_159,patient,,2025-01-01,2027-01-01
211,CORE,has_role,pat_160,patient,,2025-01-01,2027-01-01
212,CORE,has_role,pat_161,patient,,2025-01-01,2027-01-01
213,CORE,has_role,pat_162,patient,,2025-01-01,2027-01-01
214,CORE,has_role,pat_163,patient,,2025-01-01,2027-01-01
215,CORE,has_role,pat_164,patient,,2025-01-01,2027-01-01
216,CORE,has_role,pat_165,patient,,2025-01-01,2027-01-01
217,CORE,has_role,pat_166,patient,,2025-01-01,2027-01-01
218,CORE,has_role,pat_167,patient,,2025-01-01,2027-01-01
219,CORE,has_role,pat_168,patient,,2025-01-01,2027-01-01
220,CORE,has_role,pat_169,patient,,2025-01-01,2027-01-01
221,CORE,has_role,pat_170,patient,,2025-01-01,2027-01-01
222,CORE,has_role,pat_171,patient,,2025-01-01,2027-01-01
223,CORE,has_role,pat_172,patient,,2025-01-01,2027-01-01
224,CORE,has_role,pat_173,patient,,2025-01-01,2027-01-01
225,CORE,has_role,pat_174,patient,,2025-01-01,2027-01-01
226,CORE,has_role,pat_175,patient,,2025-01-01,2027-01-01
227,CORE,has_role,pat_176,patient,,2025-01-01,2027-01-01
228,CORE,has_role,pat_177,patient,,2025-01-01,2027-01-01
229,CORE,has_role,pat_178,patient,,2025-01-01,2027-01-01
230,CORE,has_role,pat_179,patient,,2025-01-01,2027-01-01
231,CORE,has_role,pat_180,patient,,2025-01-01,2027-01-01
232,CORE,has_role,pat_181,patient,,2025-01-01,2027-01-01
233,CORE,has_role,pat_182,patient,,2025-01-01,2027-01-01
234,CORE,has_role,pat_183,patient,,2025-01-01,2027-01-01
235,CORE,has_role,pat_184,patient,,2025-01-01,2027-01-01
236,CORE,has_role,pat_185,patient,,2025-01-01,2027-01-01
237,CORE,has_role,pat_186,patient,,2025-01-01,2027-01-01
238,CORE,has_role,pat_187,patient,,2025-01-01,2027-01-01
239,CORE,has_role,pat_188,patient,,2025-01-01,2027-01-01
240,CORE,has_role,pat_189,patient,,2025-01-01,2027-01-01
241,CORE,has_role,pat_190,patient,,2025-01-01,2027-01-01
242,CORE,has_role,pat_191,patient,,2025-01-01,2027-01-01
243,CORE,has_role,pat_192,patient,,2025-01-01,2027-01-01
244,CORE,has_role,pat_193,patient,,2025-01-01,2027-01-01
245,CORE,has_role,pat_194,patient,,2025-01-01,2027-01-01
246,CORE,has_role,pat_195,patient,,2025-01-01,2027-01-01
247,CORE,has_role,pat_196,patient,,2025-01-01,2027-01-01
248,CORE,has_role,pat_197,patient,,2025-01-01,2027-01-01
249,CORE,has_role,pat_198,patient,,2025-01-01,2027-01-01
250,CORE,has_role,pat_199,patient,,2025-01-01,2027-01-01
251,CORE,has_role,pat_200,patient,,2025-01-01,2027-01-01
252,CORE,has_role,pat_201,patient,,2025-01-01,2027-01-01
253,CORE,has_role,pat_202,patient,,2025-01-01,2027-01-01
254,CORE,has_role,pat_203,patient,,2025-01-01,2027-01-01
255,CORE,has_role,pat_204,patient,,2025-01-01,2027-01-01
256,CORE,has_role,pat_205,patient,,2025-01-01,2027-01-01
257,CORE,has_role,pat_206,patient,,2025-01-01,2027-01-01
258,CORE,has_role,pat_207,patient,,2025-01-01,2027-01-01
259,CORE,has_role,pat_208,patient,,2025-01-01,2027-01-01
260,CORE,has_role,pat_209,patient,,2025-01-01,2027-01-01
261,CORE,has_role,pat_210,patient,,2025-01-01,2027-01-01
262,CORE,has_role,pat_211,patient,,2025-01-01,2027-01-01
263,CORE,has_role,pat_212,patient,,2025-01-01,2027-01-01
264,CORE,has_role,pat_213,patient,,2025-01-01,2027-01-01
265,CORE,has_role,pat_214,patient,,2025-01-01,2027-01-01
266,CORE,has_role,pat_215,patient,,2025-01-01,2027-01-01
267,CORE,has_role,pat_216,patient,,2025-01-01,2027-01-01
268,CORE,has_role,pat_217,patient,,2025-01-01,2027-01-01
269,CORE,has_role,pat_218,patient,,2025-01-01,2027-01-01
270,CORE,has_role,pat_219,patient,,2025-01-01,2027-01-01
271,CORE,has_role,pat_220,patient,,2025-01-01,2027-01-01
272,CORE,has_role,pat_221,patient,,2025-01-01,2027-01-01
273,CORE,has_role,pat_222,patient,,2025-01-01,2027-01-01
274,CORE,has_role,pat_223,patient,,2025-01-01,2027-01-01
275,CORE,has_role,pat_224,patient,,2025-01-01,2027-01-01
276,CORE,has_role,pat_225,patient,,2025-01-01,2027-01-01
277,CORE,has_role,pat_226,patient,,2025-01-01,2027-01-01
278,CORE,has_role,pat_227,patient,,2025-01-01,2027-01-01
279,CORE,has_role,pat_228,patient,,2025-01-01,2027-01-01
280,CORE,has_role,pat_229,patient,,2025-01-01,2027-01-01
281,CORE,has_role,pat_230,patient,,2025-01-01,2027-01-01
282,CORE,has_role,pat_231,patient,,2025-01-01,2027-01-01
283,CORE,has_role,pat_232,patient,,2025-01-01,2027-01-01
284,CORE,has_role,pat_233,patient,,2025-01-01,2027-01-01
285,CORE,has_role,pat_234,patient,,2025-01-01,2027-01-01
286,CORE,has_role,pat_235,patient,,2025-01-01,2027-01-01
287,CORE,has_role,pat_236,patient,,2025-01-01,2027-01-01
288,CORE,has_role,pat_237,patient,,2025-01-01,2027-01-01
289,CORE,has_role,pat_238,patient,,2025-01-01,2027-01-01
290,CORE,has_role,pat_239,patient,,2025-01-01,2027-01-01
291,CORE,has_role,pat_240,patient,,2025-01-01,2027-01-01
292,CORE,has_role,pat_241,patient,,2025-01-01,2027-01-01
293,CORE,has_role,pat_242,patient,,2025-01-01,2027-01-01
294,CORE,has_role,pat_243,patient,,2025-01-01,2027-01-01
295,CORE,has_role,pat_244,patient,,2025-01-01,2027-01-01
296,CORE,has_role,pat_245,patient,,2025-01-01,2027-01-01
297,CORE,has_role,pat_246,patient,,2025-01-01,2027-01-01
298,CORE,has_role,pat_247,patient,,2025-01-01,2027-01-01
299,CORE,has_role,pat_248,patient,,2025-01-01,2027-01-01
300,CORE,has_role,pat_249,patient,,2025-01-01,2027-01-01
301,CORE,has_role,pat_250,patient,,2025-01-01,2027-01-01
302,CORE,has_role,pat_251,patient,,2025-01-01,2027-01-01
303,CORE,has_role,pat_252,patient,,2025-01-01,2027-01-01
304,CORE,has_role,pat_253,patient,,2025-01-01,2027-01-01
305,CORE,has_role,pat_254,patient,,2025-01-01,2027-01-01
306,CORE,has_role,pat_255,patient,,2025-01-01,2027-01-01
307,CORE,has_role,pat_256,patient,,2025-01-01,2027-01-01
308,CORE,has_role,pat_257,patient,,2025-01-01,2027-01-01
309,CORE,has_role,pat_258,patient,,2025-01-01,2027-01-01
310,CORE,has_role,pat_259,patient,,2025-01-01,2027-01-01
311,CORE,has_role,pat_260,patient,,2025-01-01,2027-01-01
312,CORE,has_role,pat_261,patient,,2025-01-01,2027-01-01
313,CORE,has_role,pat_262,patient,,2025-01-01,2027-01-01
314,CORE,has_role,pat_263,patient,,2025-01-01,2027-01-01
315,CORE,has_role,pat_264,patient,,2025-01-01,2027-01-01
316,CORE,has_role,pat_265,patient,,2025-01-01,2027-01-01
317,CORE,has_role,pat_266,patient,,2025-01-01,2027-01-01
318,CORE,has_role,pat_267,patient,,2025-01-01,2027-01-01
319,CORE,has_role,pat_268,patient,,2025-01-01,2027-01-01
320,CORE,has_role,pat_269,patient,,2025-01-01,2027-01-01
321,CORE,has_role,pat_270,patient,,2025-01-01,2027-01-01
322,CORE,has_role,pat_271,patient,,2025-01-01,2027-01-01
323,CORE,has_role,pat_272,patient,,2025-01-01,2027-01-01
324,CORE,has_role,pat_273,patient,,2025-01-01,2027-01-01
325,CORE,has_role,pat_274,patient,,2025-01-01,2027-01-01
326,CORE,has_role,pat_275,patient,,2025-01-01,2027-01-01
327,CORE,has_role,pat_276,patient,,2025-01-01,2027-01-01
328,CORE,has_role,pat_277,patient,,2025-01-01,2027-01-01
329,CORE,has_role,pat_278,patient,,2025-01-01,2027-01-01
330,CORE,has_role,pat_279,patient,,2025-01-01,2027-01-01
331,CORE,has_role,pat_280,patient,,2025-01-01,2027-01-01
332,CORE,has_role,pat_281,patient,,2025-01-01,2027-01-01
333,CORE,has_role,pat_282,patient,,2025-01-01,2027-01-01
334,CORE,has_role,pat_283,patient,,2025-01-01,2027-01-01
335,CORE,has_role,pat_284,patient,,2025-01-01,2027-01-01
336,CORE,has_role,pat_285,patient,,2025-01-01,2027-01-01
337,CORE,has_role,pat_286,patient,,2025-01-01,2027-01-01
338,CORE,has_role,pat_287,patient,,2025-01-01,2027-01-01
339,CORE,has_role,pat_288,patient,,2025-01-01,2027-01-01
340,CORE,has_role,pat_289,patient,,2025-01-01,2027-01-01
341,CORE,has_role,pat_290,patient,,2025-01-01,2027-01-01
342,CORE,has_role,pat_291,patient,,2025-01-01,2027-01-01
343,CORE,has_role,pat_292,patient,,2025-01-01,2027-01-01
344,CORE,has_role,pat_293,patient,,2025-01-01,2027-01-01
345,CORE,has_role,pat_294,patient,,2025-01-01,2027-01-01
346,CORE,has_role,pat_295,patient,,2025-01-01,2027-01-01
347,CORE,has_role,pat_296,patient,,2025-01-01,2027-01-01
348,CORE,has_role,pat_297,patient,,2025-01-01,2027-01-01
349,CORE,has_role,pat_298,patient,,2025-01-01,2027-01-01
350,CORE,has_role,pat_299,patient,,2025-01-01,2027-01-01
351,CORE,has_role,pat_300,patient,,2025-01-01,2027-01-01
352,CORE,has_role,pat_301,patient,,2025-01-01,2027-01-01
353,CORE,has_role,pat_302,patient,,2025-01-01,2027-01-01
354,CORE,has_role,pat_303,patient,,2025-01-01,2027-01-01
355,CORE,has_role,pat_304,patient,,2025-01-01,2027-01-01
356,CORE,has_role,pat_305,patient,,2025-01-01,2027-01-01
357,CORE,has_role,pat_306,patient,,2025-01-01,2027-01-01
358,CORE,has_role,pat_307,patient,,2025-01-01,2027-01-01
359,CORE,has_role,pat_308,patient,,2025-01-01,2027-01-01
360,CORE,has_role,pat_309,patient,,2025-01-01,2027-01-01
361,CORE,has_role,pat_310,patient,,2025-01-01,2027-01-01
362,CORE,has_role,pat_311,patient,,2025-01-01,2027-01-01
363,CORE,has_role,pat_312,patient,,2025-01-01,2027-01-01
364,CORE,has_role,pat_313,patient,,2025-01-01,2027-01-01
365,CORE,has_role,pat_314,patient,,2025-01-01,2027-01-01
366,CORE,has_role,pat_315,patient,,2025-01-01,2027-01-01
367,CORE,has_role,pat_316,patient,,2025-01-01,2027-01-01
368,CORE,has_role,pat_317,patient,,2025-01-01,2027-01-01
369,CORE,has_role,pat_318,patient,,2025-01-01,2027-01-01
370,CORE,has_role,pat_319,patient,,2025-01-01,2027-01-01
371,CORE,has_role,pat_320,patient,,2025-01-01,2027-01-01
372,CORE,has_role,pat_321,patient,,2025-01-01,2027-01-01
373,CORE,has_role,pat_322,patient,,2025-01-01,2027-01-01
374,CORE,has_role,pat_323,patient,,2025-01-01,2027-01-01
375,CORE,has_role,pat_324,patient,,2025-01-01,2027-01-01
376,CORE,has_role,pat_325,patient,,2025-01-01,2027-01-01
377,CORE,has_role,pat_326,patient,,2025-01-01,2027-01-01
378,CORE,has_role,pat_327,patient,,2025-01-01,2027-01-01
379,CORE,has_role,pat_328,patient,,2025-01-01,2027-01-01
380,CORE,has_role,pat_329,patient,,2025-01-01,2027-01-01
381,CORE,has_role,pat_330,patient,,2025-01-01,2027-01-01
382,CORE,has_role,pat_331,patient,,2025-01-01,2027-01-01
383,CORE,has_role,pat_332,patient,,2025-01-01,2027-01-01
384,CORE,has_role,pat_333,patient,,2025-01-01,2027-01-01
385,CORE,has_role,pat_334,patient,,2025-01-01,2027-01-01
386,CORE,has_role,pat_335,patient,,2025-01-01,2027-01-01
387,CORE,has_role,pat_336,patient,,2025-01-01,2027-01-01
388,CORE,has_role,pat_337,patient,,2025-01-01,2027-01-01
389,CORE,has_role,pat_338,patient,,2025-01-01,2027-01-01
390,CORE,has_role,pat_339,patient,,2025-01-01,2027-01-01
391,CORE,has_role,pat_340,patient,,2025-01-01,2027-01-01
392,CORE,has_role,pat_341,patient,,2025-01-01,2027-01-01
393,CORE,has_role,pat_342,patient,,2025-01-01,2027-01-01
394,CORE,has_role,pat_343,patient,,2025-01-01,2027-01-01
395,CORE,has_role,pat_344,patient,,2025-01-01,2027-01-01
396,CORE,has_role,pat_345,patient,,2025-01-01,2027-01-01
397,CORE,has_role,pat_346,patient,,2025-01-01,2027-01-01
398,CORE,has_role,pat_347,patient,,2025-01-01,2027-01-01
399,CORE,has_role,pat_348,patient,,2025-01-01,2027-01-01
400,CORE,has_role,pat_349,patient,,2025-01-01,2027-01-01
401,CORE,has_role,pat_350,patient,,2025-01-01,2027-01-01
402,CORE,has_role,pat_351,patient,,2025-01-01,2027-01-01
403,CORE,has_role,pat_352,patient,,2025-01-01,2027-01-01
404,CORE,has_role,pat_353,patient,,2025-01-01,2027-01-01
405,CORE,has_role,pat_354,patient,,2025-01-01,2027-01-01
406,CORE,has_role,pat_355,patient,,2025-01-01,2027-01-01
407,CORE,has_role,pat_356,patient,,2025-01-01,2027-01-01
408,CORE,has_role,pat_357,patient,,2025-01-01,2027-01-01
409,CORE,has_role,pat_358,patient,,2025-01-01,2027-01-01
410,CORE,has_role,pat_359,patient,,2025-01-01,2027-01-01
411,CORE,has_role,pat_360,patient,,2025-01-01,2027-01-01
412,CORE,has_role,pat_361,patient,,2025-01-01,2027-01-01
413,CORE,has_role,pat_362,patient,,2025-01-01,2027-01-01
414,CORE,has_role,pat_363,patient,,2025-01-01,2027-01-01
415,CORE,has_role,pat_364,patient,,2025-01-01,2027-01-01
416,CORE,has_role,pat_365,patient,,2025-01-01,2027-01-01
417,CORE,has_role,pat_366,patient,,2025-01-01,2027-01-01
418,CORE,has_role,pat_367,patient,,2025-01-01,2027-01-01
419,CORE,has_role,pat_368,patient,,2025-01-01,2027-01-01
420,CORE,has_role,pat_369,patient,,2025-01-01,2027-01-01
