log_id,principal,action,resource,lab_result,clinical_note,billing_info,purpose,timestamp,label
log_77,doc_47,read_phi,phi_rec_1082,0,0,0,billing,2025-07-12T20:30:15,benign
log_78,bclerk_6,read_phi,phi_rec_661,0,0,1,billing,2025-06-13T18:09:26,benign
log_79,doc_20,read_phi,phi_rec_1601,0,0,0,billing,2025-01-13T13:17:02,benign
log_80,doc_31,read_phi,phi_rec_310,0,0,0,billing,2025-03-16T06:00:03,benign
log_81,doc_23,read_phi,phi_rec_1707,1,1,0,research,2025-06-03T21:03:11,benign
log_82,bclerk_1,read_phi,phi_rec_1254,0,0,1,billing,2025-03-21T22:10:09,benign
log_83,doc_0,read_phi,phi_rec_249,1,1,0,diagnosis,2025-03-11T21:50:41,benign
log_84,bclerk_7,read_phi,phi_rec_827,0,0,1,billing,2025-03-15T12:42:14,benign
log_85,bclerk_11,read_phi,phi_rec_1461,0,0,1,billing,2025-01-02T13:53:02,benign
log_86,doc_2,read_phi,phi_rec_565,0,0,0,billing,2025-04-12T02:18:44,benign
log_87,bclerk_11,read_phi,phi_rec_846,0,0,1,billing,2025-06-05T14:11:02,benign
log_88,bclerk_3,read_phi,phi_rec_1607,0,0,1,billing,2025-02-25T14:00:17,benign
log_89,doc_40,read_phi,phi_rec_1459,0,0,0,marketing,2025-05-25T19:54:07,benign
log_90,doc_8,read_phi,phi_rec_1207,0,0,0,billing,2025-06-20T07:32:59,benign
log_91,doc_2,read_phi,phi_rec_1485,1,1,0,diagnosis,2025-08-14T17:30:03,benign
log_92,doc_18,read_phi,phi_rec_1344,1,1,0,diagnosis,2025-08-29T13:07:25,benign
log_93,doc_30,read_phi,phi_rec_596,1,1,0,diagnosis,2025-03-07T16:15:19,benign
log_94,doc_20,read_phi,phi_rec_742,0,0,0,marketing,2025-01-03T10:09:48,benign
log_95,doc_40,read_phi,phi_rec_1544,0,0,0,billing,2025-02-04T15:41:13,benign
log_96,doc_25,read_phi,phi_rec_50,1,1,0,research,2025-03-29T21:46:11,benign
log_97,bclerk_2,read_phi,phi_rec_1001,0,1,0,billing,2025-05-16T19:58:43,violation_hipaa_min_necessary
log_98,doc_16,read_phi,phi_rec_651,0,1,0,diagnosis,2025-03-26T09:53:20,violation_hipaa_auth
log_99,doc_3,read_phi,phi_rec_468,0,0,0,marketing,2025-03-09T09:42:12,benign
log_100,doc_45,read_phi,phi_rec_634,0,0,0,marketing,2025-08-04T02:44:35,benign
log_101,doc_12,read_phi,phi_rec_98,0,0,0,billing,2025-05-18T23:54:44,benign
log_102,bclerk_8,read_phi,phi_rec_866,0,0,1,billing,2025-04-19T14:19:01,benign
log_103,doc_8,read_phi,phi_rec_1976,0,0,0,billing,2025-08-23T03:08:33,benign
log_104,doc_17,read_phi,phi_rec_257,0,1,0,research,2025-05-15T22:38:52,violation_gdpr_art18
log_105,doc_29,read_phi,phi_rec_1184,0,0,0,billing,2025-07-12T20:52:20,benign
log_106,doc_27,read_phi,phi_rec_1550,0,0,0,billing,2025-06-08T22:40:35,benign
log_107,doc_39,read_phi,phi_rec_1445,0,0,0,billing,2025-05-22T11:24:01,benign
log_108,doc_47,read_phi,phi_rec_1503,0,0,0,billing,2025-05-06T13:30:51,benign
log_109,doc_41,read_phi,phi_rec_363,0,0,0,billing,2025-05-17T12:45:03,benign
log_110,bclerk_8,read_phi,phi_rec_1713,0,0,1,billing,2025-03-27T02:26:01,benign
log_111,bclerk_6,read_phi,phi_rec_1045,0,0,1,billing,2025-02-22T03:23:48,benign
log_112,doc_49,read_phi,phi_rec_1798,1,0,0,diagnosis,2025-08-15T20:16:45,benign
log_113,doc_12,read_phi,phi_rec_501,0,0,0,billing,2025-02-06T23:59:10,benign
log_114,doc_23,read_phi,phi_rec_1152,1,1,0,diagnosis,2025-01-05T07:58:20,benign
log_115,bclerk_0,read_phi,phi_rec_776,0,0,1,billing,2025-06-09T17:03:58,benign
log_116,bclerk_14,read_phi,phi_rec_61,0,0,1,billing,2025-01-04T11:22:43,benign
log_117,doc_37,read_phi,phi_rec_925,0,0,0,marketing,2025-05-08T10:31:28,benign
log_118,bclerk_0,read_phi,phi_rec_926,0,0,1,billing,2025-08-13T08:29:12,benign
log_119,doc_10,read_phi,phi_rec_457,1,0,0,diagnosis,2025-04-11T07:52:54,benign
log_120,doc_31,read_phi,phi_rec_1673,1,1,0,diagnosis,2025-08-02T08:45:03,benign
log_121,doc_44,read_phi,phi_rec_1748,1,1,0,research,2025-04-01T22:56:58,benign
log_122,bclerk_4,read_phi,phi_rec_1953,0,0,1,billing,2025-02-12T06:14:00,benign
log_123,doc_9,read_phi,phi_rec_369,0,0,0,billing,2025-02-27T02:56:00,benign
log_124,doc_20,read_phi,phi_rec_1876,0,0,0,marketing,2025-04-23T19:26:15,benign
log_125,bclerk_9,read_phi,phi_rec_258,0,0,1,billing,2025-01-10T00:00:50,benign
log_126,doc_23,read_phi,phi_rec_175,0,0,0,billing,2025-04-06T04:38:12,benign
log_127,bclerk_10,read_phi,phi_rec_805,0,0,1,billing,2025-07-21T07:57:00,benign
log_128,bclerk_2,read_phi,phi_rec_329,0,0,1,billing,2025-02-09T04:56:42,benign
log_129,doc_0,read_phi,phi_rec_1592,1,1,0,research,2025-03-04T05:11:14,benign
log_130,doc_17,read_phi,phi_rec_1228,0,0,0,billing,2025-02-07T03:20:44,benign
log_131,doc_45,read_phi,phi_rec_634,0,0,0,billing,2025-06-12T03:52:22,benign
log_132,bclerk_4,read_phi,phi_rec_1218,0,0,1,billing,2025-01-01T20:56:41,benign
log_133,doc_10,read_phi,phi_rec_1906,1,1,0,diagnosis,2025-02-19T09:53:29,benign
log_134,doc_8,read_phi,phi_rec_16,1,1,0,research,2025-02-27T06:15:36,benign
log_135,doc_46,read_phi,phi_rec_145,0,0,0,billing,2025-03-24T12:53:17,benign
log_136,doc_24,read_phi,phi_rec_1250,0,1,0,research,2025-04-21T20:12:41,benign
log_137,bclerk_9,read_phi,phi_rec_1932,0,0,1,billing,2025-01-26T23:57:50,benign
log_138,doc_30,read_phi,phi_rec_1168,1,1,0,research,2025-02-13T08:26:29,benign
log_139,bclerk_0,read_phi,phi_rec_810,0,0,1,billing,2025-04-01T21:25:17,benign
log_140,doc_3,read_phi,phi_rec_1845,0,0,0,marketing,2025-07-15T22:40:03,benign
log_141,doc_38,read_phi,phi_rec_1810,1,0,0,diagnosis,2025-01-26T13:59:40,benign
log_142,doc_3,read_phi,phi_rec_1119,1,1,0,research,2025-05-15T19:14:31,benign
log_143,doc_8,read_phi,phi_rec_16,1,0,0,research,2025-08-09T10:48:47,benign
log_144,bclerk_5,read_phi,phi_rec_1095,0,0,1,billing,2025-06-17T16:46:04,benign
log_145,doc_2,read_phi,phi_rec_1555,1,1,0,diagnosis,2025-03-17T08:55:33,benign
log_146,doc_47,read_phi,phi_rec_1436,1,1,0,research,2025-02-06T06:45:12,benign
log_147,bclerk_5,read_phi,phi_rec_719,0,0,1,billing,2025-03-22T11:38:25,benign
log_148,doc_4,read_phi,phi_rec_195,1,0,0,diagnosis,2025-05-26T04:03:16,benign
log_149,doc_25,read_phi,phi_rec_1012,1,1,0,diagnosis,2025-08-08T00:53:28,benign
log_150,doc_0,read_phi,phi_rec_333,1,1,0,diagnosis,2025-03-23T12:47:32,benign
log_151,doc_43,read_phi,phi_rec_1507,1,1,0,diagnosis,2025-07-31T07:15:27,benign
log_152,bclerk_5,read_phi,phi_rec_925,0,0,1,billing,2025-08-28T00:44:56,benign
log_153,doc_47,read_phi,phi_rec_274,0,0,0,billing,2025-05-24T13:03:57,benign
log_154,doc_20,read_phi,phi_rec_794,0,0,0,marketing,2025-02-20T15:44:13,benign
log_155,bclerk_11,read_phi,phi_rec_1510,0,0,1,billing,2025-06-17T22:25:30,benign
log_156,bclerk_13,read_phi,phi_rec_1321,0,0,1,billing,2025-01-12T04:58:57,benign
log_157,bclerk_0,read_phi,phi_rec_360,0,0,1,marketing,2025-08-23T15:28:40,violation_gdpr_art18
log_158,doc_44,read_phi,phi_rec_1687,1,1,0,research,2025-08-11T16:47:21,benign
log_159,doc_25,read_phi,phi_rec_524,1,1,0,diagnosis,2025-06-15T09:12:13,benign
log_160,doc_28,read_phi,phi_rec_1069,1,1,0,research,2025-07-20T22:59:20,benign
log_161,bclerk_11,read_phi,phi_rec_1105,0,0,1,billing,2025-03-23T10:16:29,benign
log_162,bclerk_2,read_phi,phi_rec_1029,0,0,1,billing,2025-01-13T22:53:40,benign
log_163,doc_22,read_phi,phi_rec_1010,0,0,0,research,2025-01-08T14:07:25,benign
log_164,doc_19,read_phi,phi_rec_1671,0,0,0,billing,2025-04-30T04:41:27,benign
log_165,bclerk_8,read_phi,phi_rec_339,0,0,1,billing,2025-02-13T14:31:06,benign
log_166,doc_25,read_phi,phi_rec_1494,0,0,0,billing,2025-06-04T16:08:05,benign
log_167,doc_32,read_phi,phi_rec_1780,1,1,0,diagnosis,2025-06-24T22:07:43,benign
log_168,bclerk_4,read_phi,phi_rec_372,0,0,1,billing,2025-04-22T22:26:26,benign
log_169,doc_35,read_phi,phi_rec_1773,1,1,0,diagnosis,2025-03-09T08:53:03,benign
log_170,doc_21,read_phi,phi_rec_403,0,0,0,billing,2025-07-06T20:02:23,benign
log_171,doc_8,read_phi,phi_rec_1693,0,0,0,marketing,2025-07-09T06:40:16,benign
log_172,bclerk_8,read_phi,phi_rec_503,0,0,1,billing,2025-06-19T05:56:37,benign
log_173,doc_4,read_phi,phi_rec_1267,0,0,0,marketing,2025-02-02T00:15:30,benign
log_174,bclerk_9,read_phi,phi_rec_152,0,0,1,billing,2025-04-07T07:25:29,benign
log_175,doc_16,read_phi,phi_rec_1159,1,1,0,research,2025-07-19T13:30:02,benign
log_176,bclerk_14,read_phi,phi_rec_1753,0,0,1,billing,2025-03-14T18:40:23,benign
log_177,doc_26,read_phi,phi_rec_237,1,1,0,research,2025-07-24T19:22:57,benign
log_178,bclerk_3,read_phi,phi_rec_939,0,0,1,billing,2025-05-12T07:32:02,benign
log_179,doc_22,read_phi,phi_rec_262,1,1,0,diagnosis,2025-01-24T02:59:42,benign
log_180,doc_48,read_phi,phi_rec_568,1,1,0,diagnosis,2025-03-01T04:10:23,benign
log_181,doc_48,read_phi,phi_rec_1850,1,1,0,diagnosis,2025-02-05T07:13:55,benign
log_182,bclerk_3,read_phi,phi_rec_374,0,0,1,billing,2025-04-27T12:43:39,benign
log_183,doc_48,read_phi,phi_rec_1643,1,1,0,diagnosis,2025-01-30T03:38:54,benign
log_184,doc_14,read_phi,phi_rec_1382,0,0,0,marketing,2025-08-04T05:32:16,benign
log_185,doc_32,read_phi,phi_rec_5,0,0,0,billing,2025-01-16T09:32:27,benign
log_186,doc_33,read_phi,phi_rec_309,1,1,0,research,2025-07-30T10:28:39,benign
log_187,doc_26,read_phi,phi_rec_630,0,0,0,billing,2025-04-13T04:18:39,benign
log_188,doc_40,read_phi,phi_rec_66,0,1,0,diagnosis,2025-06-10T21:47:54,violation_hipaa_auth
log_189,doc_46,read_phi,phi_rec_214,1,1,0,research,2025-06-22T20:07:10,benign
log_190,doc_17,read_phi,phi_rec_859,0,0,0,billing,2025-06-29T15:36:23,benign
log_191,doc_1,read_phi,phi_rec_189,0,0,0,marketing,2025-08-13T15:48:02,benign
log_192,doc_32,read_phi,phi_rec_1282,0,0,0,marketing,2025-08-13T04:48:57,benign
log_193,doc_11,read_phi,phi_rec_1482,0,1,0,billing,2025-07-01T16:13:40,violation_hipaa_auth
log_194,doc_30,read_phi,phi_rec_1737,1,1,0,research,2025-08-25T04:55:46,benign
log_195,doc_36,read_phi,phi_rec_1938,1,1,0,diagnosis,2025-06-10T02:48:39,benign
log_196,bclerk_0,read_phi,phi_rec_832,0,0,1,marketing,2025-05-08T18:44:15,violation_gdpr_art18
log_197,doc_0,read_phi,phi_rec_1552,0,0,0,billing,2025-06-04T01:50:36,benign
log_198,doc_14,read_phi,phi_rec_1925,0,0,0,billing,2025-04-11T10:50:42,benign
log_199,doc_22,read_phi,phi_rec_1387,1,0,0,research,2025-02-24T16:33:03,violation_gdpr_art18
log_200,doc_3,read_phi,phi_rec_45,0,0,0,marketing,2025-03-30T23:34:13,benign
log_201,doc_44,read_phi,phi_rec_716,1,1,0,research,2025-08-06T14:25:27,benign
log_202,doc_5,read_phi,phi_rec_48,0,1,0,diagnosis,2025-06-30T17:47:34,benign
log_203,doc_47,read_phi,phi_rec_930,0,1,0,research,2025-07-31T08:21:00,benign
log_204,bclerk_6,read_phi,phi_rec_1598,0,0,1,billing,2025-01-25T07:08:20,benign
log_205,doc_33,read_phi,phi_rec_843,1,1,0,diagnosis,2025-03-25T16:44:40,benign
log_206,doc_3,read_phi,phi_rec_1000,0,0,0,marketing,2025-02-23T14:22:59,benign
log_207,bclerk_7,read_phi,phi_rec_94,0,0,1,billing,2025-04-14T18:58:57,benign
log_208,bclerk_9,read_phi,phi_rec_1111,0,0,1,billing,2025-05-01T06:10:15,benign
log_209,doc_21,read_phi,phi_rec_747,0,1,0,billing,2025-07-11T22:01:08,violation_hipaa_auth
log_210,bclerk_4,read_phi,phi_rec_1885,0,0,1,billing,2025-02-03T15:00:09,benign
log_211,bclerk_2,read_phi,phi_rec_1274,0,0,1,billing,2025-03-08T18:19:41,benign
log_212,doc_24,read_phi,phi_rec_0,0,0,0,marketing,2025-08-11T07:37:45,benign
log_213,doc_28,read_phi,phi_rec_42,1,1,0,diagnosis,2025-01-16T06:16:29,benign
log_214,doc_45,read_phi,phi_rec_542,0,0,0,billing,2025-08-18T18:32:44,benign
log_215,doc_7,read_phi,phi_rec_176,1,1,0,research,2025-01-02T07:51:35,benign
log_216,doc_12,read_phi,phi_rec_211,0,0,0,billing,2025-07-24T13:38:04,benign
log_217,bclerk_13,read_phi,phi_rec_1660,0,0,1,billing,2025-08-12T19:47:36,benign
log_218,doc_19,read_phi,phi_rec_436,1,1,0,diagnosis,2025-01-22T03:18:36,benign
log_219,doc_15,read_phi,phi_rec_1640,1,1,0,diagnosis,2025-08-13T23:50:13,benign
log_220,doc_39,read_phi,phi_rec_1874,0,1,0,diagnosis,2025-02-19T18:26:41,violation_hipaa_auth
log_221,doc_30,read_phi,phi_rec_1737,1,1,0,diagnosis,2025-08-20T02:16:31,benign
log_222,doc_21,read_phi,phi_rec_1827,1,0,0,research,2025-02-25T01:10:15,violation_gdpr_art18
log_223,doc_22,read_phi,phi_rec_213,1,0,0,diagnosis,2025-01-21T12:30:43,benign
log_224,bclerk_9,read_phi,phi_rec_1892,0,0,1,billing,2025-03-24T16:50:41,benign
log_225,bclerk_2,read_phi,phi_rec_231,0,1,0,billing,2025-06-22T07:42:16,violation_hipaa_min_necessary
log_226,doc_9,read_phi,phi_rec_369,1,1,0,diagnosis,2025-07-31T17:46:28,benign
log_227,doc_6,read_phi,phi_rec_439,0,0,0,marketing,2025-01-31T20:02:33,benign
log_228,doc_44,read_phi,phi_rec_1509,1,1,0,diagnosis,2025-08-13T22:01:00,benign
log_229,doc_12,read_phi,phi_rec_63,1,1,0,diagnosis,2025-03-05T16:26:40,benign
log_230,doc_26,read_phi,phi_rec_1237,0,0,0,marketing,2025-01-19T00:34:39,benign
log_231,doc_42,read_phi,phi_rec_764,0,0,0,billing,2025-04-05T22:44:00,benign
log_232,bclerk_13,read_phi,phi_rec_1390,0,0,1,billing,2025-06-25T12:19:02,benign
log_233,bclerk_1,read_phi,phi_rec_1307,0,0,1,billing,2025-05-16T03:10:16,benign
log_234,doc_9,read_phi,phi_rec_831,1,1,0,diagnosis,2025-03-25T13:03:22,benign
log_235,doc_31,read_phi,phi_rec_1183,0,0,0,marketing,2025-08-07T02:49:48,benign
log_236,doc_29,read_phi,phi_rec_891,0,0,0,marketing,2025-08-21T17:03:59,benign
log_237,doc_25,read_phi,phi_rec_294,0,0,0,billing,2025-02-15T14:49:01,benign
log_238,doc_13,read_phi,phi_rec_591,0,0,0,marketing,2025-04-06T10:15:14,benign
log_239,doc_31,read_phi,phi_rec_449,0,0,0,billing,2025-05-12T20:53:08,benign
log_240,doc_13,read_phi,phi_rec_1296,0,0,0,billing,2025-01-20T15:31:10,benign
log_241,doc_2,read_phi,phi_rec_1024,1,1,0,diagnosis,2025-08-22T22:10:59,benign
log_242,doc_2,read_phi,phi_rec_411,0,0,0,marketing,2025-01-12T02:21:39,benign
log_243,bclerk_0,read_phi,phi_rec_1254,0,0,1,marketing,2025-04-04T19:19:48,violation_gdpr_art18
log_244,bclerk_0,read_phi,phi_rec_213,0,0,1,billing,2025-07-23T03:58:10,benign
log_245,bclerk_7,read_phi,phi_rec_757,0,0,1,billing,2025-06-24T19:01:01,benign
log_246,doc_47,read_phi,phi_rec_1401,1,0,0,research,2025-01-23T01:41:59,benign
log_247,doc_6,read_phi,phi_rec_439,0,0,0,billing,2025-06-10T12:56:05,benign
log_248,doc_29,read_phi,phi_rec_1467,0,0,0,marketing,2025-06-25T19:48:22,benign
log_249,doc_21,read_phi,phi_rec_141,1,1,0,research,2025-03-29T11:22:53,benign
log_250,doc_8,read_phi,phi_rec_1735,0,0,0,marketing,2025-03-16T01:36:54,benign
log_251,doc_0,read_phi,phi_rec_1022,0,0,0,billing,2025-05-25T04:07:41,benign
log_252,bclerk_1,read_phi,phi_rec_841,0,0,1,billing,2025-05-18T01:00:01,benign
log_253,doc_45,read_phi,phi_rec_300,1,0,0,research,2025-08-09T15:56:18,benign
log_254,bclerk_4,read_phi,phi_rec_1576,1,0,0,billing,2025-04-10T14:59:36,violation_hipaa_min_necessary
log_255,bclerk_14,read_phi,phi_rec_1504,0,0,1,billing,2025-05-20T14:38:51,benign
log_256,doc_27,read_phi,phi_rec_1389,0,0,0,billing,2025-01-26T07:01:29,benign
log_257,doc_26,read_phi,phi_rec_815,1,0,0,diagnosis,2025-05-02T02:56:25,benign
log_258,bclerk_1,read_phi,phi_rec_779,0,0,1,billing,2025-06-06T10:13:05,benign
log_259,doc_46,read_phi,phi_rec_1304,1,1,0,research,2025-06-13T01:16:49,benign
log_260,doc_38,read_phi,phi_rec_1319,1,1,0,diagnosis,2025-02-27T17:18:23,benign
log_261,doc_8,read_phi,phi_rec_1939,0,0,0,marketing,2025-07-22T07:29:54,benign
log_262,doc_49,read_phi,phi_rec_488,1,0,0,diagnosis,2025-04-20T19:22:27,benign
log_263,doc_29,read_phi,phi_rec_645,0,0,0,billing,2025-07-06T10:07:51,benign
log_264,doc_19,read_phi,phi_rec_566,1,1,0,research,2025-05-04T19:19:55,benign
log_265,doc_13,read_phi,phi_rec_395,1,1,0,diagnosis,2025-08-05T13:30:30,benign
log_266,bclerk_13,read_phi,phi_rec_1582,0,0,1,billing,2025-08-07T22:24:16,benign
log_267,doc_7,read_phi,phi_rec_493,1,0,0,diagnosis,2025-08-15T17:51:50,benign
log_268,doc_9,read_phi,phi_rec_1951,0,0,0,billing,2025-05-19T21:37:13,benign
log_269,doc_34,read_phi,phi_rec_1216,0,0,0,marketing,2025-08-16T14:54:46,benign
log_270,bclerk_5,read_phi,phi_rec_1660,0,0,1,billing,2025-01-23T05:41:46,benign
log_271,doc_34,read_phi,phi_rec_68,0,1,0,diagnosis,2025-05-07T05:52:35,benign
log_272,doc_7,read_phi,phi_rec_767,1,0,0,research,2025-05-01T09:06:04,benign
log_273,doc_7,read_phi,phi_rec_368,1,1,0,diagnosis,2025-08-03T22:06:00,benign
log_274,doc_38,read_phi,phi_rec_1828,0,0,0,billing,2025-03-21T23:58:44,benign
log_275,doc_49,read_phi,phi_rec_1095,1,1,0,diagnosis,2025-08-01T23:56:33,benign
log_276,doc_41,read_phi,phi_rec_198,1,1,0,diagnosis,2025-04-10T14:51:18,benign
log_277,doc_45,read_phi,phi_rec_300,0,0,0,marketing,2025-03-23T00:50:29,benign
log_278,doc_4,read_phi,phi_rec_165,0,0,0,marketing,2025-07-03T19:43:08,benign
log_279,doc_45,read_phi,phi_rec_1653,0,0,0,billing,2025-03-16T16:53:51,benign
log_280,doc_31,read_phi,phi_rec_1178,0,0,0,billing,2025-06-02T20:34:32,benign
log_281,doc_10,read_phi,phi_rec_1278,0,0,0,marketing,2025-05-25T14:25:34,benign
